timestamp,data1,data2,data3,data4,data5,data6,label
2.602,0.14062,0.37964,0.7406,-174.6826,-20.32471,2.68555,1
2.613,0.12378,0.3623,0.80249,-180.2368,-15.93017,-1.2207,1
2.623,0.11975,0.3584,0.86047,-177.18504,-14.89258,-3.2959,1
2.634,0.1217,0.35901,0.89587,-169.98289,-16.90674,-4.88281,1
2.644,0.12927,0.35205,0.89734,-164.00145,-23.01025,-5.67627,1
2.655,0.14185,0.33813,0.89563,-164.18456,-31.86035,-7.08008,1
2.666,0.15808,0.32214,0.91516,-170.22704,-38.94043,-10.62012,1
2.676,0.17444,0.31177,0.95508,-178.58885,-39.48975,-16.60156,1
2.687,0.17883,0.30933,1.00769,-183.22752,-32.22656,-24.10888,1
2.697,0.13293,0.28442,1.06409,-178.71092,-20.1416,-29.96826,1
2.708,0.09644,0.2511,1.05554,-167.54149,-10.80322,-30.94482,1
2.719,0.07507,0.23108,1.07202,-154.90723,-9.33838,-26.67236,1
2.729,0.06494,0.21399,1.08691,-142.39502,-14.34326,-21.30127,1
2.74,0.06909,0.19275,1.07446,-131.71387,-22.33887,-19.34814,1
2.75,0.08374,0.17798,1.05786,-125.79345,-31.37207,-21.1792,1
2.761,0.08313,0.17468,1.08252,-126.03759,-38.63525,-24.84131,1
2.772,0.05505,0.17517,1.16345,-128.72314,-34.17969,-27.34375,1
2.782,0.00745,0.17419,1.27271,-122.37548,-22.27783,-26.79443,1
2.793,-0.04614,0.17603,1.37207,-108.09325,-6.65283,-25.51269,1
2.803,-0.0874,0.18091,1.41003,-90.69823,10.86426,-24.23096,1
2.814,-0.11523,0.17456,1.37488,-78.30811,27.64892,-25.26855,1
2.825,-0.1239,0.15283,1.297,-71.41113,41.44287,-26.9165,1
2.835,-0.10596,0.12646,1.19946,-69.21387,51.45263,-29.29687,1
2.846,-0.08008,0.09729,1.11365,-73.05908,56.03027,-35.52246,1
2.856,-0.10986,0.05554,1.14026,-80.68847,53.833,-44.00634,1
2.867,-0.15662,0.04834,1.2301,-86.1206,46.38671,-49.3164,1
2.878,-0.19312,0.04602,1.3219,-87.89062,37.41455,-49.43847,1
2.888,-0.21497,0.05139,1.40564,-87.95165,31.18896,-46.08154,1
2.899,-0.22986,0.05676,1.46497,-85.63232,30.45654,-41.56494,1
2.909,-0.24084,0.05225,1.4718,-78.30811,34.60693,-36.8042,1
2.92,-0.23901,0.03528,1.41882,-67.68799,38.87939,-31.37207,1
2.931,-0.20959,0.01074,1.35181,-59.26513,37.59766,-23.68164,1
2.941,-0.14648,-0.00513,1.31372,-36.49902,21.48437,6.71387,1
2.952,-0.07031,-0.00488,1.26831,-15.38086,13.91601,20.93506,1
2.962,-0.0116,0.00244,1.19653,-3.41797,7.08008,22.03369,1
2.973,0.01709,0.00989,1.14502,-4.15039,-0.12207,12.75635,1
2.984,0.01392,0.00806,1.13855,-8.60596,-7.08008,3.41797,1
2.994,-0.0061,-0.00928,1.1521,-9.82666,-11.47461,-0.73242,1
3.005,-0.02527,-0.03333,1.15955,-8.97217,-12.08496,-0.85449,1
3.015,-0.03357,-0.05029,1.16614,-8.54492,-9.39941,1.0376,1
3.026,0.00916,-0.05566,1.1897,-8.23975,-4.02832,1.89209,1
3.037,0.02588,-0.05334,1.19653,-8.11768,1.95312,-1.64795,1
3.047,0.03687,-0.04822,1.21924,-8.91113,5.49316,-7.20215,1
3.058,0.05151,-0.03857,1.25073,-7.9956,5.31006,-10.74219,1
3.068,0.05603,-0.03223,1.26636,-2.44141,2.74658,-12.87842,1
